,PRODUCT NAMES,PRODUCT PRICE,LINKS
27,2022 Mens Casual Board Shoes Running Sneakers - Black,"₦ 5,999 - ₦ 7,336",https://www.jumia.com.ng/fashion-2022-mens-casual-board-shoes-running-sneakers-black-91353928.html
28,ADIDAS Vs Pace Lifestyle Skateboarding Shoes Men,"₦ 31,917",https://www.jumia.com.ng/adidas-vs-pace-lifestyle-skateboarding-shoes-men-194409912.html
29,2021 Mens Casual Board Shoes Running Sneakers - White,"₦ 7,999",https://www.jumia.com.ng/fashion-2021-mens-casual-board-shoes-running-sneakers-white-67524136.html
30,Mens Casual Flat Sports Shoes Lace Up Outdoor Sneakers,"₦ 3,499 - ₦ 5,594",https://www.jumia.com.ng/fashion-mens-casual-flat-sports-shoes-lace-up-outdoor-sneakers-44345560.html
31,Solid Color Men's Breathable Lace-up Canvas Sneakers - Khaki,"₦ 9,200",https://www.jumia.com.ng/solid-color-mens-breathable-lace-up-canvassneakers-khaki-fashion-mpg1422241.html
32,2022 Men's Casual Running Sneakers - Khaki,"₦ 4,999 - ₦ 5,999",https://www.jumia.com.ng/fashion-2022-mens-casual-running-sneakers-khaki-82141606.html
33,2022 Mens Casual Sci-Fi Warrior Shoes Running Sneakers - Black/Green,"₦ 9,800",https://www.jumia.com.ng/fashion-2022-mens-casual-sci-fi-warrior-shoes-running-sneakers-blackgreen-91374917.html
34,Solid Color Men Canvas Shoes Breathable Outdoor Casual-black,"₦ 3,319",https://www.jumia.com.ng/fashion-solid-color-men-canvas-shoes-breathable-outdoor-casual-black-44299463.html
35,Men's Fashion Sneakers Casual Leather Shoes-White,"₦ 4,990 - ₦ 5,544",https://www.jumia.com.ng/fashion-mens-fashion-sneakers-casual-leather-shoes-white-77868078.html
36,2022 Mens Casual Board Shoes Running Sneakers - White,"₦ 3,999 - ₦ 6,999",https://www.jumia.com.ng/fashion-2022-mens-casual-board-shoes-running-sneakers-white-91354064.html
